"","genus","count"
"1","acipenser",2
"2","alosa",6245
"3","alosa-clupea",168
"4","ambloplites",7216
"5","ameiurus",16875
"6","amia",42
"7","Ammocrypta",24
"8","anchoa",1
"9","anguilla",29960
"10","apeltes",905
"11","brevoortia",26
"12","caranx",37
"13","carassius",135
"14","catostomus",96062
"15","channa",1
"16","chrosomus",5754
"17","clinostomus",212
"18","coregonus",1
"19","cottus",122700
"20","couesius",3773
"21","culaea",654
"22","cynoscion",3
"23","cyprinella",445
"24","cyprinodon",9
"25","cyprinus",1108
"26","dorosoma",4
"27","enneacanthus",1911
"28","erimyzon",2127
"29","esox",28395
"30","etheostoma",31911
"31","eucinostomus",1
"32","exoglossum",4399
"33","fundulus",5827
"34","gambusia",2
"35","gasterosteus",134
"36","gobiosoma",17
"37","hybognathus",1861
"38","ichthyomyzon",23
"39","Ichthyomyzon",1
"40","ictalurus",67
"41","labidesthes",1
"42","leiostomus",1
"43","lepisosteus",3
"44","lepomis",108179
"45","lethenteron",580
"46","lota",1596
"47","lucania",9
"48","luxilus",87683
"49","margariscus",524
"50","menidia",858
"51","menticirrhus",30
"52","microgadus",3
"53","micropterus",74676
"54","morone",5492
"55","moxostoma",46
"56","notemigonus",21792
"57","notropis",17886
"58","noturus",3434
"59","Noturus",25
"60","oncorhynchus",175404
"61","Oncorhynchus",31
"62","oncorhynchus-salmo",26
"63","osmerus",49
"64","paralichthys",1
"65","peprilus",1
"66","perca",57217
"67","percina",1477
"68","Percina",13
"69","percopsis",427
"70","petromyzon",1808
"71","phoxinus",1444
"72","pimephales",22099
"73","poecilia",2
"74","pomatomus",25
"75","pomoxis",5077
"76","prionotus",4
"77","prosopium",446
"78","prosopium-coregonus",1
"79","pseudopleuronectes",63
"80","pungitius",909
"81","rhinichthys",645369
"82","salmo",219817
"83","salvelinus",448788
"84","scardinius",1
"85","scomberomorus",1
"86","semotilus",150315
"87","stizostedion",250
"88","strongylura",4
"89","syngnathus",5
"90","tinca",32
"91","trinectes",97
"92","umbra",1049
"93",NA,66
