"","common_name","scientific_name"
"1","tidewater mucket","leptodea ochracea"
"3","eastern elliptio","elliptio complanata"
"4","eastern lampmussel","lampsilis radiata"
"5","dwarf wedgemussel","alasmidonta heterodon"
"6","squawfoot","strophitus undulatus"
"7","eastern pondmussel","ligumia nasuta"
"9","eastern floater","pyganodon cataracta"
"11","yellow lampmussel","lampsilis cariosa"
"14","alewife floater","anodonta implicata"
"18","asian clam","corbicula fluminea"
"21","eastern pearlshell","margaritifera margaritifera"
"31","triangle floater","alasmidonta undulata"
"112","brook floater (swollen wedgemussel)","alasmidonta varicosa"
